AMD3DNowEx	Amd3DNowEx
ARM	Arm
AST	Ast
ASTLowerPhase	AstLowerPhase
ActiveDefs	ActiveDefinitions
ActiveRegionNodeIConstIterator	ActiveRegionNodeIConstantIterator
AddAssemblyUnitRef	AddAssemblyUnitReference
AddCallSiteRef	AddCallSiteReference
AddDefTypeParameters	AddDefinitionTypeParameters
AddElem	AddElement
AddFuncUnitObjects	AddFunctionUnitObjects
AddInScopeSym	AddInScopeSymbol
AddMulReductionOps	AddMultiplyReductionOperations
AddNewInstr	AddNewInstruction
AddOvfWithCarry	AddOverflowWithCarry
AddRTLoc	AddRuntimeLocation
AddReg	AddRegister
AddRegionSeg	AddRegionSegment
AddStaticFieldSym	AddStaticFieldSymbol
AddrAdjust	AddressAdjustment
AddrModeBuilder	AddressModeBuilder
AddrModeBuildingEnabled	AddressModeBuildingEnabled
AddrModeOpndsCtrl	AddressModeOperandsControl
AddrOf	AddressOf
AddrShifter	AddressShifter
AddrTakenTagsBv	AddressTakenTagsBitVector
AdjustForInstr	AdjustForInstruction
AdvanceLiveDescWalker	AdvanceLiveDescriptionWalker
AggrCheckVar	AggregateCheckVariable
AggrStackVarNode	AggregateStackVariableNode
Aggrtype	AggregateType
AggrtypeAggrtypeMap	AggregateTypeAggregateTypeMap
AggrtypeIConstIterator	AggregateTypeIConstantIterator
AliasedIndirs	AliasedIndirections
Align1024Bytes	AlignTo1024Bytes
Align16348Bytes	AlignTo16348Bytes
Align1Byte	AlignTo1Byte
Align2048Bytes	AlignTo2048Bytes
Align2Bytes	AlignTo2Bytes
Align32Bytes	AlignTo32Bytes
Align4Bytes	AlignTo4Bytes
Align64Bytes	AlignTo64Bytes
Align8Bytes	AlignTo8Bytes
AlignBytesToBoundary	AlignmentBytesToBoundary
AlignMask	AlignmentMask
AlignParam	AlignmentParameter
AlignofexprNode	AlignmentOfExpressionNode
AllAutoMemTag	AllAutoMemoryTag
AllLoc	AllLocation
AllNeighborsBV	AllNeighborsBitVector
AllRef	AllReference
AllStaticMemTag	AllStaticMemoryTag
AllocCountCtrl	AllocationCountControl
AllocGCInfo	AllocateGCInfo
AllocId	AllocateId
AllocInstrId	AllocateInstructionId
AllocLifetime	AllocateLifetime
AllocRegForParamType	AllocateRegisterForParameterType
AllocateParamSym	AllocateParameterSymbol
AnalyzeInstr	AnalyzeInstruction
AnnotateInstr	AnnotateInstruction
AppendArgFuncArg	AppendArgumentFunctionArgument
AppendDst	AppendDestination
AppendFuncArg	AppendFunctionArgument
AppendLabelSrc	AppendLabelSource
AppendOpnd	AppendOperand
AppendSrc	AppendSource
AppendUnnamedArg	AppendUnnamedArgument
ArchCanon	ArchitectureCanonicalize
ArchEHLower	ArchitectureEHLower
ArchFrame	ArchitectureFrame
ArchInliner	ArchitectureInliner
ArchIntrin	ArchitectureIntrinsic
ArchLower	ArchitectureLower
ArchSSECtrl	ArchitectureSseControl
AreDepthFirstNumsValid	AreDepthFirstNumbersValid
AreDomsValid	AreDominatorsValid
ArePostDomsValid	ArePostDominatorsValid
Arg	Argument
ArgByteOffset	ArgumentByteOffset
ArgException	ArgumentException
ArgNotConst	ArgumentNotConstant
ArgPtrRegIsUsed	ArgumentPointerRegisterIsUsed
ArgTypeList	ArgumentTypeList
ArrUpper	ArrayUpper
ArraynewNode	ArrayNewNode
ArticulationShiftLeft	ShiftLeftInArticulationNode
ArticulationShiftStrengthReduction	ShiftStrengthReductionInArticulationNode
AsAggrStackVarNode	AsAggregateStackVariableNode
AsAssemblySym	AsAssemblySymbol
AsBaseRegLoc	AsBaseRegisterLocation
AsBasicStackVarNode	AsBasicStackVariableNode
AsBoolCtrlValue	AsBooleanControlValue
AsCallInstr	AsCallInstruction
AsClearBoolCtrl	AsClearBooleanControl
AsCmpInstrCheckRule	AsCompareInstructionCheckRule
AsCntrCtrlValue	AsCounterControlValue
AsCompModCtrl	AsComponentModifierControl
